Post_ID,Post_Date,Platform,Hashtag,Content_Type,Region,Views,Likes,Shares,Comments,Engagement_Level,Interactions,Engagement_Rate,Like_Rate,Share_Rate,Comment_Rate,Year,Post_Month,Post_Quarter,Day_Of_Week,Is_Fitness,Reach_Tier,Format_Group
Post_1,2022-01-13,TikTok,#Challenge,Video,UK,4163464,339431,53135,19346,High,411912,0.09893492534101411,0.08152610422475132,0.012762209544744472,0.004646611571518332,2022,2022-01,2022Q1,Thursday,0,T4 Mega reach,Long-form video
Post_2,2022-05-13,Instagram,#Education,Shorts,India,4155940,215240,65860,27239,Medium,308339,0.07419236081367873,0.051790930571663694,0.015847197024018635,0.00655423321799641,2022,2022-05,2022Q2,Friday,0,T4 Mega reach,Short video
Post_3,2022-01-07,Twitter,#Challenge,Video,Brazil,3666211,327143,39423,36223,Medium,402789,0.10986519870242056,0.0892319072742949,0.010753063585265552,0.009880227842860108,2022,2022-01,2022Q1,Friday,0,T3 Established reach,Long-form video
Post_4,2022-12-05,YouTube,#Education,Shorts,Australia,917951,127125,11687,36806,Low,175618,0.1913152227079659,0.13848778420634653,0.012731616393467626,0.04009582210815174,2022,2022-12,2022Q4,Monday,0,T1 Emerging reach,Short video
Post_6,2022-11-23,Instagram,#Challenge,Shorts,Australia,1323566,136282,86979,47129,Low,270390,0.2042890192102245,0.1029657757905537,0.06571564999403127,0.035607593425639524,2022,2022-11,2022Q4,Wednesday,0,T1 Emerging reach,Short video
Post_7,2022-06-09,YouTube,#Comedy,Tweet,Japan,627233,84121,97973,32648,Medium,214742,0.342364001894033,0.13411443594326192,0.156198733166144,0.052050832784627084,2022,2022-06,2022Q2,Thursday,0,T1 Emerging reach,Text post
Post_8,2022-01-14,YouTube,#Gaming,Shorts,UK,2066886,317502,45222,33638,High,396362,0.19176771239439427,0.15361369712698233,0.021879290875258722,0.01627472439215322,2022,2022-01,2022Q1,Friday,0,T2 Growth reach,Short video
Post_9,2022-09-01,Twitter,#Education,Live Stream,India,2169523,496078,96041,30174,Medium,622293,0.2868340183533431,0.22865763580289308,0.04426825620193932,0.01390812634851071,2022,2022-09,2022Q3,Thursday,0,T2 Growth reach,Live stream
Post_10,2023-01-01,TikTok,#Gaming,Shorts,India,3898384,8634,69378,42700,Low,120712,0.03096462534219307,0.0022147638611280983,0.017796604952205836,0.010953256528859137,2023,2023-01,2023Q1,Sunday,0,T4 Mega reach,Short video
Post_11,2023-08-09,Instagram,#Comedy,Live Stream,Germany,4070332,379894,46012,25242,High,451148,0.11083813310560416,0.09333243578165122,0.011304237590447167,0.006201459733505768,2023,2023-08,2023Q3,Wednesday,0,T4 Mega reach,Live stream
Post_12,2023-02-26,Twitter,#Music,Reel,Australia,4585669,465871,69083,8999,Medium,543953,0.11862020568863561,0.10159281012214358,0.015064977432954712,0.001962418133537331,2023,2023-02,2023Q1,Sunday,0,T4 Mega reach,Short video
Post_13,2022-03-16,YouTube,#Viral,Shorts,Canada,4105651,195560,37627,49089,High,282276,0.06875304306186765,0.04763191026222151,0.009164685454267789,0.011956447345378358,2022,2022-03,2022Q1,Wednesday,0,T4 Mega reach,Short video
Post_14,2022-11-08,YouTube,#Fitness,Reel,Japan,1633015,312907,45774,30725,High,389406,0.23845831177300883,0.1916130592799209,0.028030361019341525,0.018814891473746414,2022,2022-11,2022Q4,Tuesday,1,T2 Growth reach,Short video
Post_15,2023-12-19,Twitter,#Comedy,Post,Germany,2471790,370802,54110,17081,High,441993,0.17881494787178523,0.15001355293127652,0.021891018249932236,0.006910376690576465,2023,2023-12,2023Q4,Tuesday,0,T2 Growth reach,Image post
Post_16,2022-04-05,YouTube,#Gaming,Live Stream,Canada,3079923,124237,44062,26702,Medium,195001,0.06331359582690865,0.040337696754107165,0.014306201810889428,0.008669697261912067,2022,2022-04,2022Q2,Tuesday,0,T3 Established reach,Live stream
Post_17,2023-07-09,Twitter,#Dance,Reel,UK,294870,213142,20351,20767,Low,254260,0.8622782921287347,0.722833791162207,0.06901685488520365,0.07042764608132397,2023,2023-07,2023Q3,Sunday,0,T1 Emerging reach,Short video
Post_18,2022-09-17,TikTok,#Tech,Shorts,UK,2051091,24472,54704,41737,Medium,120913,0.05895057800945935,0.011931211243187162,0.026670684040834853,0.020348682725437342,2022,2022-09,2022Q3,Saturday,0,T2 Growth reach,Short video
Post_19,2022-05-08,TikTok,#Fashion,Post,USA,3461154,165335,50077,19505,Low,234917,0.06787244947783312,0.04776874996027337,0.014468295834279549,0.0056354036832802,2022,2022-05,2022Q2,Sunday,0,T3 Established reach,Image post
Post_20,2023-04-24,YouTube,#Education,Tweet,UK,3143932,298685,84720,37162,Low,420567,0.13377102303739394,0.09500364511700635,0.026947147711846184,0.011820230208541406,2023,2023-04,2023Q2,Monday,0,T3 Established reach,Text post
Post_22,2022-01-26,TikTok,#Viral,Live Stream,USA,3924406,35376,72832,3949,Medium,112157,0.02857935697784582,0.009014357841670815,0.01855873220049098,0.0010062669356840246,2022,2022-01,2022Q1,Wednesday,0,T4 Mega reach,Live stream
Post_23,2023-08-02,YouTube,#Dance,Shorts,Brazil,599766,223690,22531,10538,Low,256759,0.42809862513046754,0.3729621218942054,0.03756631753050356,0.01757018570575858,2023,2023-08,2023Q3,Wednesday,0,T1 Emerging reach,Short video
Post_24,2022-01-07,Twitter,#Education,Shorts,Japan,4357851,449803,63438,28280,High,541521,0.12426331235280876,0.10321670015794482,0.014557175084691973,0.006489437110171963,2022,2022-01,2022Q1,Friday,0,T4 Mega reach,Short video
Post_25,2023-07-19,YouTube,#Dance,Tweet,Germany,731492,474649,98377,3654,High,576680,0.7883613217916259,0.648877909806259,0.13448814204393214,0.004995269941434766,2023,2023-07,2023Q3,Wednesday,0,T1 Emerging reach,Text post
Post_26,2022-09-08,YouTube,#Dance,Live Stream,Brazil,4910814,197287,53218,14896,Low,265401,0.0540441971534658,0.040173991521568524,0.010836899951820614,0.0030333056800766634,2022,2022-09,2022Q3,Thursday,0,T4 Mega reach,Live stream
Post_27,2023-05-14,Instagram,#Gaming,Video,India,4369260,212278,21264,18172,Low,251714,0.057610213171109065,0.04858442848445732,0.004866728004284478,0.0041590566823672655,2023,2023-05,2023Q2,Sunday,0,T4 Mega reach,Long-form video
Post_28,2022-05-22,YouTube,#Tech,Post,Canada,1874437,322601,35671,48768,Medium,407040,0.21715320386868164,0.1721055442247459,0.019030247482310688,0.026017412161625064,2022,2022-05,2022Q2,Sunday,0,T2 Growth reach,Image post
Post_29,2023-09-30,Instagram,#Gaming,Live Stream,Canada,1653907,91836,77370,2823,Low,172029,0.1040137081468305,0.05552670131996539,0.04678013939115077,0.001706867435714342,2023,2023-09,2023Q3,Saturday,0,T2 Growth reach,Live stream
Post_30,2023-10-23,YouTube,#Education,Shorts,Japan,4683280,311330,3357,5110,Medium,319797,0.06828483456039357,0.06647691361609812,0.0007168053159324234,0.0010911156283630275,2023,2023-10,2023Q4,Monday,0,T4 Mega reach,Short video
Post_31,2022-03-22,Instagram,#Comedy,Reel,Australia,1365655,156164,84930,18303,Low,259397,0.18994328728705273,0.11435098908582329,0.06218993816154153,0.013402360039687915,2022,2022-03,2022Q1,Tuesday,0,T1 Emerging reach,Short video
Post_32,2022-03-10,Twitter,#Music,Video,USA,2342195,91944,89578,44440,Medium,225962,0.09647446092233994,0.039255484705586,0.03824532116241389,0.018973655054340052,2022,2022-03,2022Q1,Thursday,0,T2 Growth reach,Long-form video
Post_33,2022-07-08,YouTube,#Gaming,Live Stream,USA,4977438,8731,4500,46045,Low,59276,0.011908937891340886,0.0017541152697431893,0.0009040795686455562,0.009250743052952141,2022,2022-07,2022Q3,Friday,0,T4 Mega reach,Live stream
Post_34,2022-11-11,YouTube,#Viral,Reel,Australia,3005703,16688,77970,15891,Low,110549,0.036779748365024754,0.005552112101561598,0.025940686754479733,0.005286949508983422,2022,2022-11,2022Q4,Friday,0,T3 Established reach,Short video
Post_35,2023-11-18,YouTube,#Education,Tweet,UK,936390,368646,92202,2016,Low,462864,0.4943068593214366,0.393688527216224,0.09846538301348796,0.002152949091724602,2023,2023-11,2023Q4,Saturday,0,T1 Emerging reach,Text post
Post_36,2023-07-01,TikTok,#Education,Live Stream,Japan,1855796,158156,6423,20518,High,185097,0.09973994986517914,0.08522272922239298,0.00346104852041927,0.011056172122366897,2023,2023-07,2023Q3,Saturday,0,T2 Growth reach,Live stream
Post_38,2023-07-15,Instagram,#Dance,Video,India,1367820,10794,7617,36639,Medium,55050,0.04024652366539457,0.007891389217879546,0.005568715181822169,0.026786419265692855,2023,2023-07,2023Q3,Saturday,0,T1 Emerging reach,Long-form video
Post_39,2022-09-28,TikTok,#Gaming,Shorts,USA,4499253,469481,89583,41549,High,600613,0.13349171518027547,0.10434643261892586,0.019910638499324222,0.009234644062025408,2022,2022-09,2022Q3,Wednesday,0,T4 Mega reach,Short video
Post_40,2022-01-31,Twitter,#Comedy,Post,USA,4510477,274631,82143,13932,Low,370706,0.082187759742484,0.06088735182553863,0.01821159934969184,0.00308880856725353,2022,2022-01,2022Q1,Monday,0,T4 Mega reach,Image post
Post_41,2022-03-03,Twitter,#Education,Reel,India,4380015,355402,41860,42729,High,439991,0.1004542221887368,0.08114173124977883,0.009557044895964968,0.009755446042993004,2022,2022-03,2022Q1,Thursday,0,T4 Mega reach,Short video
Post_42,2022-03-17,YouTube,#Fashion,Live Stream,Australia,943395,402996,18661,11999,High,433656,0.45967595757874485,0.4271763153292099,0.01978068571489143,0.012718956534643494,2022,2022-03,2022Q1,Thursday,0,T1 Emerging reach,Live stream
Post_43,2022-09-10,Twitter,#Comedy,Post,Brazil,3961278,49656,93072,23952,Medium,166680,0.04207732958908716,0.012535348440579025,0.023495447681278616,0.006046533467229515,2022,2022-09,2022Q3,Saturday,0,T4 Mega reach,Image post
Post_44,2023-10-23,YouTube,#Comedy,Shorts,Brazil,4080112,171609,17994,41339,Medium,230942,0.056601877595516985,0.042059874826965535,0.0044101730540730254,0.010131829714478426,2023,2023-10,2023Q4,Monday,0,T4 Mega reach,Short video
