Post_ID,Post_Date,Platform,Hashtag,Content_Type,Region,Views,Likes,Shares,Comments,Engagement_Level,Interactions,Engagement_Rate,Like_Rate,Share_Rate,Comment_Rate,Year,Post_Month,Post_Quarter,Day_Of_Week,Is_Fitness,Reach_Tier,Format_Group
Post_14,2022-11-08,YouTube,#Fitness,Reel,Japan,1633015,312907,45774,30725,High,389406,0.23845831177300883,0.1916130592799209,0.028030361019341525,0.018814891473746414,2022,2022-11,2022Q4,Tuesday,1,T2 Growth reach,Short video
Post_56,2023-08-25,YouTube,#Fitness,Tweet,Australia,3934991,389693,81891,32967,Medium,504551,0.12822164015114648,0.09903275509397608,0.020810975171226567,0.00837790988594383,2023,2023-08,2023Q3,Friday,1,T4 Mega reach,Text post
Post_69,2022-01-20,Twitter,#Fitness,Tweet,USA,581577,341805,67524,485,High,409814,0.7046599160558276,0.5877209724593648,0.11610500415250259,0.0008339394439601291,2022,2022-01,2022Q1,Thursday,1,T1 Emerging reach,Text post
Post_70,2022-02-05,YouTube,#Fitness,Tweet,Australia,4226427,421149,53769,27804,Medium,502722,0.11894728100118611,0.09964658090628326,0.01272209362660233,0.006578606468300529,2022,2022-02,2022Q1,Saturday,1,T4 Mega reach,Text post
Post_77,2022-05-10,Twitter,#Fitness,Shorts,India,1535141,15408,23087,23147,Medium,61642,0.040153966313192076,0.010036863063392874,0.015039009446037855,0.015078093803761348,2022,2022-05,2022Q2,Tuesday,1,T2 Growth reach,Short video
Post_85,2023-10-28,Twitter,#Fitness,Shorts,Brazil,4357287,106179,4262,12978,Medium,123419,0.02832473509318987,0.024368144673508996,0.0009781315759095051,0.002978458843771365,2023,2023-10,2023Q4,Saturday,1,T4 Mega reach,Short video
Post_86,2022-10-05,TikTok,#Fitness,Shorts,Canada,907386,52457,77192,32870,High,162519,0.17910679688688166,0.057811118972521065,0.0850707416689259,0.036224936245434686,2022,2022-10,2022Q4,Wednesday,1,T1 Emerging reach,Short video
Post_90,2022-03-21,YouTube,#Fitness,Reel,Japan,1173157,137342,95328,47250,Low,279920,0.23860404020945195,0.11707043473294708,0.08125766627996082,0.04027593919654403,2022,2022-03,2022Q1,Monday,1,T1 Emerging reach,Short video
Post_91,2023-07-12,TikTok,#Fitness,Reel,Germany,2141884,23466,66627,40003,High,130096,0.0607390502940402,0.01095577538279384,0.0311067266014406,0.01867654830980576,2023,2023-07,2023Q3,Wednesday,1,T2 Growth reach,Short video
Post_106,2022-07-10,Twitter,#Fitness,Live Stream,USA,3926751,302919,49216,30399,Low,382534,0.09741743237602792,0.07714240093145708,0.012533516894755995,0.007741514549814847,2022,2022-07,2022Q3,Sunday,1,T4 Mega reach,Live stream
Post_109,2023-10-19,Instagram,#Fitness,Video,USA,4844012,452777,44862,23870,High,521509,0.10766055079962643,0.09347148603265228,0.00926133130966645,0.004927733457307703,2023,2023-10,2023Q4,Thursday,1,T4 Mega reach,Long-form video
Post_125,2022-12-12,YouTube,#Fitness,Video,USA,3901900,20166,30661,25363,Low,76190,0.019526384581870372,0.005168251364719752,0.007857966631640996,0.006500166585509623,2022,2022-12,2022Q4,Monday,1,T4 Mega reach,Long-form video
Post_136,2022-04-30,TikTok,#Fitness,Shorts,Australia,1851460,345987,13274,43872,Low,403133,0.21773789333823038,0.18687252222570297,0.007169477061346181,0.02369589405118123,2022,2022-04,2022Q2,Saturday,1,T2 Growth reach,Short video
Post_140,2022-12-23,TikTok,#Fitness,Video,USA,1089083,150418,45387,25632,Medium,221437,0.20332426454182095,0.13811435859342217,0.04167450965628882,0.023535396292109968,2022,2022-12,2022Q4,Friday,1,T1 Emerging reach,Long-form video
Post_157,2022-09-13,Twitter,#Fitness,Reel,India,2114283,462542,14404,37153,Low,514099,0.2431552445911924,0.21877014571843031,0.006812711448751185,0.017572387424010884,2022,2022-09,2022Q3,Tuesday,1,T2 Growth reach,Short video
