Platform,Format_Group,n_posts,pooled_er,avg_views_per_post,avg_interactions_per_post,cost_per_post_usd,engagements_per_1k,current_share,recommended_share,current_budget,recommended_budget,current_engagements,recommended_engagements
Instagram,Live stream,19,0.1714,2497598.0,428029.0,2000,214014.5,0.0382,0.0243,3822.9376,2431.616,818164.0845,520401.0768
YouTube,Image post,14,0.1421,2829962.0,402261.0,500,804522.0,0.0282,0.0914,2816.9014,9140.9159,2266259.1549,7354067.943
Instagram,Long-form video,19,0.1408,2442625.0,344044.0,1800,191135.5556,0.0382,0.0217,3822.9376,2171.6672,730699.307,415082.8168
TikTok,Long-form video,24,0.1344,2571277.0,345615.0,1800,192008.3333,0.0483,0.0218,4828.9738,2181.5836,927203.2193,418882.2374
Instagram,Text post,23,0.131,2409266.0,315582.0,400,788955.0,0.0463,0.0896,4627.7666,8964.0449,3651099.5976,7072228.0187
YouTube,Live stream,29,0.1282,2845771.0,364829.0,2200,165831.3636,0.0584,0.0188,5835.0101,1884.163,967627.6751,312453.3121
TikTok,Short video,36,0.1259,2768981.0,348685.0,1800,193713.8889,0.0724,0.022,7243.4608,2200.962,1403158.9537,426356.9124
Instagram,Image post,18,0.1247,2690595.0,335485.0,800,419356.25,0.0362,0.0476,3621.7304,4764.6928,1518795.2716,1998103.7223
YouTube,Short video,48,0.117,2818338.0,329635.0,800,412043.75,0.0966,0.0468,9657.9477,4681.6088,3979496.9819,1929027.6416
Instagram,Short video,51,0.1157,2544314.0,294363.0,1500,196242.0,0.1026,0.0223,10261.5694,2229.6862,2013750.9054,437558.0835
YouTube,Text post,19,0.1144,3205892.0,366800.0,400,917000.0,0.0382,0.1042,3822.9376,10418.8821,3505633.8028,9554114.9049
Twitter,Long-form video,21,0.112,2949809.0,330308.0,900,367008.8889,0.0423,0.0417,4225.3521,4169.9262,1550741.784,1530399.9915
Twitter,Short video,39,0.1025,2975184.0,304849.0,700,435498.5714,0.0785,0.0495,7847.0825,4948.1006,3417393.2164,2154890.7565
TikTok,Image post,26,0.1014,2877197.0,291867.0,500,583734.0,0.0523,0.0663,5231.3883,6632.34,3053739.2354,3871522.3296
Twitter,Image post,25,0.101,2928174.0,295834.0,350,845240.0,0.0503,0.096,5030.1811,9603.5506,4251710.2616,8117305.131
TikTok,Text post,17,0.0996,3108217.0,309523.0,400,773807.5,0.0342,0.0879,3420.5231,8791.9402,2646826.4588,6803269.2355
YouTube,Long-form video,18,0.0995,2773166.0,275910.0,2500,110364.0,0.0362,0.0125,3621.7304,1253.9471,399708.6519,138390.6196
Twitter,Live stream,19,0.0971,2812119.0,272967.0,1500,181978.0,0.0382,0.0207,3822.9376,2067.6198,695690.5433,376261.3108
Twitter,Text post,17,0.0937,2858295.0,267756.0,300,892520.0,0.0342,0.1014,3420.5231,10140.7423,3052885.3119,9050815.2996
TikTok,Live stream,15,0.0714,3259988.0,232709.0,2000,116354.5,0.0302,0.0132,3018.1087,1322.0107,351170.5231,153821.895
