Post_Month,Platform,n_posts,pooled_er
2022-01,Instagram,3,0.168694
2022-01,TikTok,6,0.092032
2022-01,Twitter,7,0.098174
2022-01,YouTube,3,0.12343
2022-02,Instagram,3,0.175106
2022-02,TikTok,1,0.115001
2022-02,Twitter,4,0.108991
2022-02,YouTube,9,0.143653
2022-03,Instagram,7,0.104174
2022-03,TikTok,3,0.120722
2022-03,Twitter,3,0.130838
2022-03,YouTube,8,0.102346
2022-04,Instagram,5,0.124221
2022-04,TikTok,6,0.081451
2022-04,Twitter,3,0.096393
2022-04,YouTube,5,0.132641
2022-05,Instagram,11,0.112107
2022-05,TikTok,6,0.091909
2022-05,Twitter,6,0.10504
2022-05,YouTube,3,0.128111
2022-06,Instagram,5,0.166016
2022-06,TikTok,8,0.104364
2022-06,Twitter,4,0.074378
2022-06,YouTube,7,0.072718
2022-07,Instagram,5,0.167108
2022-07,TikTok,6,0.064844
2022-07,Twitter,6,0.107915
2022-07,YouTube,3,0.145747
2022-08,Instagram,3,0.136441
2022-08,TikTok,4,0.108776
2022-08,Twitter,3,0.129383
2022-08,YouTube,5,0.155792
2022-09,Instagram,11,0.176071
2022-09,TikTok,6,0.097237
2022-09,Twitter,2,0.263004
2022-09,YouTube,7,0.148862
2022-10,Instagram,4,0.136946
2022-10,TikTok,9,0.121367
2022-10,Twitter,4,0.087052
2022-10,YouTube,6,0.081005
2022-11,Instagram,5,0.114626
2022-11,TikTok,2,0.079322
2022-11,Twitter,4,0.095486
2022-11,YouTube,5,0.143445
2022-12,Instagram,4,0.088975
2022-12,TikTok,6,0.15626
2022-12,Twitter,4,0.097028
2022-12,YouTube,1,0.019526
2023-01,Instagram,5,0.114024
2023-01,TikTok,5,0.130399
2023-01,Twitter,5,0.111698
2023-01,YouTube,6,0.130212
2023-02,Instagram,3,0.072056
2023-02,TikTok,5,0.076647
2023-02,Twitter,8,0.132988
2023-02,YouTube,7,0.151029
2023-03,Instagram,4,0.108292
2023-03,TikTok,2,0.162661
2023-03,Twitter,9,0.085719
2023-03,YouTube,6,0.10962
2023-04,Instagram,5,0.139058
2023-04,TikTok,8,0.107283
2023-04,Twitter,4,0.066582
2023-04,YouTube,6,0.130947
2023-05,Instagram,6,0.127034
2023-05,TikTok,2,0.093076
2023-05,Twitter,8,0.136028
2023-05,YouTube,8,0.07815
2023-06,Instagram,4,0.141928
2023-06,TikTok,4,0.10884
2023-06,Twitter,10,0.124449
2023-06,YouTube,3,0.092077
2023-07,Instagram,5,0.145838
2023-07,TikTok,6,0.145162
2023-07,Twitter,4,0.113933
2023-07,YouTube,4,0.104237
2023-08,Instagram,3,0.059659
2023-08,TikTok,4,0.157457
2023-08,Twitter,4,0.058988
2023-08,YouTube,5,0.131943
2023-09,Instagram,5,0.226719
2023-09,TikTok,7,0.131274
2023-09,Twitter,4,0.095491
2023-09,YouTube,6,0.127302
2023-10,Instagram,11,0.116211
2023-10,TikTok,4,0.118091
2023-10,Twitter,6,0.066589
2023-10,YouTube,4,0.107155
2023-11,Instagram,3,0.254408
2023-11,TikTok,7,0.122008
2023-11,Twitter,4,0.10861
2023-11,YouTube,6,0.143221
2023-12,Instagram,10,0.11674
2023-12,TikTok,1,0.158361
2023-12,Twitter,5,0.085455
2023-12,YouTube,5,0.135593
