Platform,Format_Group,n_posts,total_views,total_interactions,pooled_er,avg_views_per_post,avg_interactions_per_post
Instagram,Live stream,19,47454353,8132556,0.171376,2497598.0,428029.0
YouTube,Image post,14,39619467,5631653,0.142144,2829962.0,402261.0
Instagram,Long-form video,19,46409884,6536828,0.14085,2442625.0,344044.0
TikTok,Long-form video,24,61710641,8294764,0.134414,2571277.0,345615.0
Instagram,Text post,23,55413107,7258393,0.130987,2409266.0,315582.0
YouTube,Live stream,29,82527347,10580050,0.128201,2845771.0,364829.0
TikTok,Short video,36,99683319,12552671,0.125925,2768981.0,348685.0
Instagram,Image post,18,48430704,6038729,0.124688,2690595.0,335485.0
YouTube,Short video,48,135280213,15822468,0.116961,2818338.0,329635.0
Instagram,Short video,51,129760010,15012490,0.115694,2544314.0,294363.0
YouTube,Text post,19,60911951,6969199,0.114414,3205892.0,366800.0
Twitter,Long-form video,21,61945990,6936458,0.111976,2949809.0,330308.0
Twitter,Short video,39,116032159,11889125,0.102464,2975184.0,304849.0
TikTok,Image post,26,74807134,7588554,0.101442,2877197.0,291867.0
Twitter,Image post,25,73204355,7395843,0.10103,2928174.0,295834.0
TikTok,Text post,17,52839697,5261894,0.099582,3108217.0,309523.0
YouTube,Long-form video,18,49916989,4966376,0.099493,2773166.0,275910.0
Twitter,Live stream,19,53430254,5186378,0.097068,2812119.0,272967.0
Twitter,Text post,17,48591011,4551856,0.093677,2858295.0,267756.0
TikTok,Live stream,15,48899814,3490632,0.071383,3259988.0,232709.0
