Post_Month,Is_Fitness,n_posts,pooled_er
2022-01,0,172,0.126948
2022-01,1,19,0.112228
2022-02,0,169,0.118216
2022-02,1,17,0.135843
2022-03,0,172,0.11296
2022-03,1,21,0.109664
2022-04,0,147,0.124805
2022-04,1,19,0.107628
2022-05,0,172,0.131261
2022-05,1,26,0.106859
2022-06,0,182,0.120116
2022-06,1,24,0.096221
2022-07,0,183,0.1236
2022-07,1,20,0.109596
2022-08,0,181,0.120606
2022-08,1,15,0.130856
2022-09,0,171,0.112526
2022-09,1,26,0.15305
2022-10,0,174,0.118147
2022-10,1,23,0.106135
2022-11,0,182,0.119968
2022-11,1,16,0.112442
2022-12,0,186,0.11405
2022-12,1,15,0.109172
2023-01,0,145,0.112478
2023-01,1,21,0.122537
2023-02,0,174,0.120684
2023-02,1,23,0.117509
2023-03,0,164,0.124066
2023-03,1,21,0.10314
2023-04,0,179,0.128882
2023-04,1,23,0.111137
2023-05,0,187,0.126255
2023-05,1,24,0.106545
2023-06,0,168,0.115361
2023-06,1,21,0.119206
2023-07,0,168,0.123187
2023-07,1,19,0.129448
2023-08,0,171,0.129529
2023-08,1,16,0.102686
2023-09,0,181,0.130712
2023-09,1,22,0.136844
2023-10,0,188,0.113115
2023-10,1,25,0.102344
2023-11,0,160,0.116185
2023-11,1,20,0.135499
2023-12,0,164,0.125813
2023-12,1,21,0.115655
